172.16.66.10 - - [10/Jan/2017:10:57:00 +0000] "GET / HTTP/1.1" 200 45
77.154.204.47 - - [10/Jan/2017:14:54:40 +0000] "GET / HTTP/1.1" 200 51
92.90.20.16 - - [10/Jan/2017:14:55:14 +0000] "GET / HTTP/1.1" 200 51
80.12.39.158 - - [10/Jan/2017:14:58:41 +0000] "GET / HTTP/1.1" 200 51
80.12.39.158 - - [10/Jan/2017:14:58:42 +0000] "GET /favicon.ico HTTP/1.1" 404 209
80.12.39.158 - - [10/Jan/2017:14:58:47 +0000] "GET / HTTP/1.1" 200 51
80.12.39.158 - - [10/Jan/2017:15:10:07 +0000] "GET / HTTP/1.1" 304 -
152.62.109.210 - - [10/Jan/2017:15:43:16 +0000] "GET / HTTP/1.1" 200 51
81.218.180.162 - - [10/Jan/2017:15:48:10 +0000] "GET / HTTP/1.0" 200 51
152.62.109.210 - - [10/Jan/2017:16:04:56 +0000] "GET / HTTP/1.1" 200 51
62.210.181.161 - - [10/Jan/2017:17:08:20 +0000] "HEAD /robots.txt HTTP/1.0" 404 -
82.127.47.49 - - [10/Jan/2017:19:04:23 +0000] "GET / HTTP/1.0" 200 51
185.159.37.124 - - [10/Jan/2017:19:25:54 +0000] "GET / HTTP/1.1" 200 51
185.159.37.124 - - [10/Jan/2017:19:25:54 +0000] "GET /HNAP1/ HTTP/1.1" 404 204
86.245.37.244 - - [10/Jan/2017:21:33:49 +0000] "GET / HTTP/1.1" 200 51
108.61.122.224 - - [11/Jan/2017:02:40:13 +0000] "GET / HTTP/1.1" 200 51
86.245.37.244 - - [11/Jan/2017:04:29:28 +0000] "GET / HTTP/1.1" 200 51
86.245.37.244 - - [11/Jan/2017:04:29:28 +0000] "GET /favicon.ico HTTP/1.1" 404 209
86.245.37.244 - - [11/Jan/2017:04:29:28 +0000] "GET /favicon.ico HTTP/1.1" 404 209
86.245.37.244 - - [11/Jan/2017:09:08:57 +0000] "GET / HTTP/1.1" 200 14519
86.245.37.244 - - [11/Jan/2017:09:08:58 +0000] "GET /assets/css/main.css HTTP/1.1" 200 32628
86.245.37.244 - - [11/Jan/2017:09:08:58 +0000] "GET /assets/js/util.js HTTP/1.1" 200 12433
86.245.37.244 - - [11/Jan/2017:09:08:58 +0000] "GET /assets/js/skel.min.js HTTP/1.1" 200 9085
86.245.37.244 - - [11/Jan/2017:09:08:58 +0000] "GET /assets/js/main.js HTTP/1.1" 200 8801
86.245.37.244 - - [11/Jan/2017:09:08:58 +0000] "GET /assets/js/jquery.min.js HTTP/1.1" 200 95957
86.245.37.244 - - [11/Jan/2017:09:09:01 +0000] "GET /images/pic01.jpg HTTP/1.1" 200 10064
86.245.37.244 - - [11/Jan/2017:09:09:01 +0000] "GET /images/pic02.jpg HTTP/1.1" 200 8904
86.245.37.244 - - [11/Jan/2017:09:09:01 +0000] "GET /images/pic03.jpg HTTP/1.1" 200 9697
86.245.37.244 - - [11/Jan/2017:09:09:01 +0000] "GET /assets/css/font-awesome.min.css HTTP/1.1" 200 29063
86.245.37.244 - - [11/Jan/2017:09:09:02 +0000] "GET /images/overlay.png HTTP/1.1" 200 4385
86.245.37.244 - - [11/Jan/2017:09:09:02 +0000] "GET /images/bg.jpg HTTP/1.1" 200 37864
86.245.37.244 - - [11/Jan/2017:09:09:02 +0000] "GET /assets/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
86.245.37.244 - - [11/Jan/2017:09:13:53 +0000] "GET / HTTP/1.1" 200 14504
86.245.37.244 - - [11/Jan/2017:09:13:53 +0000] "GET /assets/css/main.css HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:09:13:54 +0000] "GET /assets/js/main.js HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:09:13:54 +0000] "GET /assets/js/util.js HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:09:13:54 +0000] "GET /assets/js/skel.min.js HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:09:13:54 +0000] "GET /images/pic01.jpg HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:09:13:54 +0000] "GET /assets/css/font-awesome.min.css HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:09:13:54 +0000] "GET /images/pic02.jpg HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:09:13:54 +0000] "GET /images/pic03.jpg HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:09:13:54 +0000] "GET /images/overlay.png HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:09:13:54 +0000] "GET /images/bg.jpg HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:09:13:54 +0000] "GET /assets/js/jquery.min.js HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:09:16:24 +0000] "GET / HTTP/1.1" 200 14534
86.245.37.244 - - [11/Jan/2017:09:16:24 +0000] "GET /assets/css/main.css HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:09:16:24 +0000] "GET /assets/js/jquery.min.js HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:09:16:24 +0000] "GET /assets/js/skel.min.js HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:09:16:24 +0000] "GET /assets/js/util.js HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:09:16:24 +0000] "GET /assets/js/main.js HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:09:16:25 +0000] "GET /images/pic01.jpg HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:09:16:25 +0000] "GET /images/pic02.jpg HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:09:16:25 +0000] "GET /assets/css/font-awesome.min.css HTTP/1.1" 304 -
86.245.37.244 - - [11/Jan/2017:09:16:25 +0000] "GET /images/pic03.jpg HTTP/1.1" 304 -
